ts,home_id,day,p_cons,p_prod,p_tot
2023-01-12 13:45:00+01:00,CDB005,2023-01-12,399.9892842769623,0.0,399.9892842769623
2023-01-12 14:00:00+01:00,CDB005,2023-01-12,321.11150292590656,0.0,321.11150292590656
2023-01-12 14:15:00+01:00,CDB005,2023-01-12,62.18571417672293,0.0,62.18571417672293
2023-01-12 14:30:00+01:00,CDB005,2023-01-12,119.7123899206651,0.0,119.7123899206651
2023-01-12 14:45:00+01:00,CDB005,2023-01-12,127.24196352277484,0.0,127.24196352277484
2023-01-12 15:00:00+01:00,CDB005,2023-01-12,82.25398193629442,0.0,82.25398193629442
2023-01-12 15:15:00+01:00,CDB005,2023-01-12,170.99464321136475,0.0,170.99464321136475
2023-01-12 15:30:00+01:00,CDB005,2023-01-12,172.89646020399786,0.0,172.89646020399786
2023-01-12 15:45:00+01:00,CDB005,2023-01-12,125.19375010899135,0.0,125.19375010899135
2023-01-12 16:00:00+01:00,CDB005,2023-01-12,182.56460152685113,0.0,182.56460152685113
2023-01-12 16:15:00+01:00,CDB005,2023-01-12,181.10000065394811,0.0,181.10000065394811
2023-01-12 16:30:00+01:00,CDB005,2023-01-12,182.77433614815232,0.0,182.77433614815232
2023-01-12 16:45:00+01:00,CDB005,2023-01-12,123.91964374269757,0.0,123.91964374269757
2023-01-12 17:00:00+01:00,CDB005,2023-01-12,158.0787601977323,0.0,158.0787601977323
2023-01-12 17:15:00+01:00,CDB005,2023-01-12,178.2812510899135,0.0,178.2812510899135
2023-01-12 17:30:00+01:00,CDB005,2023-01-12,120.68407122856748,0.0,120.68407122856748
2023-01-12 17:45:00+01:00,CDB005,2023-01-12,174.36607088361467,0.0,174.36607088361467
2023-01-12 18:00:00+01:00,CDB005,2023-01-12,201.76017693713703,0.0,201.76017693713703
2023-01-12 18:15:00+01:00,CDB005,2023-01-12,179.7151790346418,0.0,179.7151790346418
2023-01-12 18:30:00+01:00,CDB005,2023-01-12,342.0637181374879,0.0,342.0637181374879
2023-01-12 18:45:00+01:00,CDB005,2023-01-12,219.12678514208113,0.0,219.12678514208113
2023-01-12 19:00:00+01:00,CDB005,2023-01-12,205.42300928166483,0.0,205.42300928166483
2023-01-12 19:15:00+01:00,CDB005,2023-01-12,208.78839315686906,0.0,208.78839315686906
2023-01-12 19:30:00+01:00,CDB005,2023-01-12,338.05929025295563,0.0,338.05929025295563
2023-01-12 19:45:00+01:00,CDB005,2023-01-12,459.1249994550432,0.0,459.1249994550432
2023-01-12 20:00:00+01:00,CDB005,2023-01-12,368.20708121240665,0.0,368.20708121240665
2023-01-12 20:15:00+01:00,CDB005,2023-01-12,343.25982202802385,0.0,343.25982202802385
