home_id,day,ts,p_cons,p_prod,p_tot
CDB002,2023-04-29,2023-04-29 10:44:16+02:00,199.6999969482422,-594.4000244140625,-394.7000122070313
CDB002,2023-04-29,2023-04-29 10:44:24+02:00,199.6999969482422,-597.0999755859375,-397.3999938964844
CDB002,2023-04-29,2023-04-29 10:44:32+02:00,200.1999969482422,-598.5,-398.2999877929688
CDB002,2023-04-29,2023-04-29 10:44:40+02:00,200.3000030517578,-599.4000244140625,-399.1000061035156
CDB002,2023-04-29,2023-04-29 10:44:48+02:00,200.1999969482422,-599.7999877929688,-399.6000061035156
CDB002,2023-04-29,2023-04-29 10:44:56+02:00,200.6999969482422,-599.4000244140625,-398.7000122070313
CDB002,2023-04-29,2023-04-29 10:45:04+02:00,200.3000030517578,-599.4000244140625,-399.1000061035156
CDB002,2023-04-29,2023-04-29 10:45:12+02:00,200.3000030517578,-598.0999755859375,-397.7999877929688
CDB002,2023-04-29,2023-04-29 10:45:20+02:00,199.8999938964844,-596.2999877929688,-396.3999938964844
CDB002,2023-04-29,2023-04-29 10:45:28+02:00,200.1999969482422,-595.2999877929688,-395.1000061035156
CDB002,2023-04-29,2023-04-29 10:45:36+02:00,199.8000030517578,-593.0999755859375,-393.2999877929688
CDB002,2023-04-29,2023-04-29 10:45:44+02:00,206.5,-594.4000244140625,-387.8999938964844
CDB002,2023-04-29,2023-04-29 10:45:52+02:00,239.0,-591.2999877929688,-352.29998779296875
CDB002,2023-04-29,2023-04-29 10:46:00+02:00,292.5,-586.7999877929688,-294.29998779296875
CDB002,2023-04-29,2023-04-29 10:46:08+02:00,309.6000061035156,-587.7000122070312,-278.1000061035156
CDB002,2023-04-29,2023-04-29 10:46:16+02:00,309.20001220703125,-586.7999877929688,-277.6000061035156
CDB002,2023-04-29,2023-04-29 10:46:24+02:00,307.3999938964844,-584.0999755859375,-276.70001220703125
CDB002,2023-04-29,2023-04-29 10:46:32+02:00,309.1000061035156,-589.9000244140625,-280.79998779296875
CDB002,2023-04-29,2023-04-29 10:46:40+02:00,307.79998779296875,-590.4000244140625,-282.6000061035156
CDB002,2023-04-29,2023-04-29 10:46:48+02:00,308.29998779296875,-593.5999755859375,-285.29998779296875
CDB002,2023-04-29,2023-04-29 10:46:56+02:00,228.6000061035156,-597.5999755859375,-369.0
CDB002,2023-04-29,2023-04-29 10:47:04+02:00,199.6999969482422,-601.5999755859375,-401.8999938964844
CDB002,2023-04-29,2023-04-29 10:47:12+02:00,199.6999969482422,-604.2999877929688,-404.6000061035156
CDB002,2023-04-29,2023-04-29 10:47:20+02:00,199.3000030517578,-607.0,-407.7000122070313
CDB002,2023-04-29,2023-04-29 10:47:28+02:00,200.1999969482422,-609.2999877929688,-409.1000061035156
CDB002,2023-04-29,2023-04-29 10:47:36+02:00,198.8999938964844,-610.2000122070312,-411.2999877929688
CDB002,2023-04-29,2023-04-29 10:47:44+02:00,199.8000030517578,-611.0999755859375,-411.2999877929688
CDB002,2023-04-29,2023-04-29 10:47:52+02:00,199.8000030517578,-609.7000122070312,-409.8999938964844
CDB002,2023-04-29,2023-04-29 10:48:00+02:00,199.3000030517578,-607.5,-408.2000122070313
CDB002,2023-04-29,2023-04-29 10:48:08+02:00,172.6999969482422,-605.2000122070312,-432.5
CDB002,2023-04-29,2023-04-29 10:48:16+02:00,159.6999969482422,-601.5999755859375,-441.8999938964844
CDB002,2023-04-29,2023-04-29 10:48:24+02:00,159.3000030517578,-596.7000122070312,-437.3999938964844
CDB002,2023-04-29,2023-04-29 10:48:32+02:00,159.6999969482422,-592.2000122070312,-432.5
CDB002,2023-04-29,2023-04-29 10:48:40+02:00,159.6999969482422,-587.2000122070312,-427.5
CDB002,2023-04-29,2023-04-29 10:48:48+02:00,160.6999969482422,-581.9000244140625,-421.2000122070313
CDB002,2023-04-29,2023-04-29 10:48:56+02:00,159.3000030517578,-576.0,-416.7000122070313
CDB002,2023-04-29,2023-04-29 10:49:04+02:00,159.1999969482422,-571.0,-411.7999877929688
CDB002,2023-04-29,2023-04-29 10:49:12+02:00,175.10000610351562,-565.2000122070312,-390.1000061035156
CDB002,2023-04-29,2023-04-29 10:49:20+02:00,209.6999969482422,-559.7999877929688,-350.1000061035156
CDB002,2023-04-29,2023-04-29 10:49:28+02:00,263.70001220703125,-555.2999877929688,-291.6000061035156
CDB002,2023-04-29,2023-04-29 10:49:36+02:00,267.29998779296875,-550.2999877929688,-283.0
CDB002,2023-04-29,2023-04-29 10:49:44+02:00,267.70001220703125,-547.2000122070312,-279.5
CDB002,2023-04-29,2023-04-29 10:49:52+02:00,267.79998779296875,-545.4000244140625,-277.6000061035156
CDB002,2023-04-29,2023-04-29 10:50:00+02:00,267.70001220703125,-544.0,-276.29998779296875
CDB002,2023-04-29,2023-04-29 10:50:08+02:00,267.70001220703125,-544.0,-276.29998779296875
CDB002,2023-04-29,2023-04-29 10:50:16+02:00,215.1000061035156,-546.2999877929688,-331.20001220703125
CDB002,2023-04-29,2023-04-29 10:50:24+02:00,158.89999389648438,-549.5,-390.6000061035156
CDB002,2023-04-29,2023-04-29 10:50:32+02:00,159.3000030517578,-554.4000244140625,-395.1000061035156
CDB002,2023-04-29,2023-04-29 10:50:40+02:00,159.39999389648438,-559.4000244140625,-400.0
CDB002,2023-04-29,2023-04-29 10:50:48+02:00,159.3000030517578,-565.5999755859375,-406.2999877929688
CDB002,2023-04-29,2023-04-29 10:50:56+02:00,158.89999389648438,-571.5,-412.6000061035156
CDB002,2023-04-29,2023-04-29 10:51:04+02:00,159.6999969482422,-578.7000122070312,-419.0
CDB002,2023-04-29,2023-04-29 10:51:12+02:00,159.1999969482422,-584.5,-425.2999877929688
CDB002,2023-04-29,2023-04-29 10:51:20+02:00,158.8000030517578,-589.9000244140625,-431.1000061035156
CDB002,2023-04-29,2023-04-29 10:51:28+02:00,159.6999969482422,-595.2999877929688,-435.6000061035156
CDB002,2023-04-29,2023-04-29 10:51:36+02:00,158.89999389648438,-599.4000244140625,-440.5
CDB002,2023-04-29,2023-04-29 10:51:44+02:00,158.89999389648438,-602.0999755859375,-443.2000122070313
CDB002,2023-04-29,2023-04-29 10:51:52+02:00,158.8000030517578,-605.2000122070312,-446.3999938964844
CDB002,2023-04-29,2023-04-29 10:52:00+02:00,185.3999938964844,-608.4000244140625,-423.0
CDB002,2023-04-29,2023-04-29 10:52:08+02:00,194.8999938964844,-611.0999755859375,-416.2000122070313
CDB002,2023-04-29,2023-04-29 10:52:16+02:00,195.3000030517578,-613.4000244140625,-418.1000061035156
CDB002,2023-04-29,2023-04-29 10:52:24+02:00,198.3999938964844,-614.2000122070312,-415.7999877929688
CDB002,2023-04-29,2023-04-29 10:52:32+02:00,229.6000061035156,-616.0999755859375,-386.5
CDB002,2023-04-29,2023-04-29 10:52:40+02:00,258.29998779296875,-616.9000244140625,-358.6000061035156
CDB002,2023-04-29,2023-04-29 10:52:48+02:00,300.1000061035156,-616.5,-316.3999938964844
CDB002,2023-04-29,2023-04-29 10:52:56+02:00,304.20001220703125,-616.5,-312.29998779296875
CDB002,2023-04-29,2023-04-29 10:53:04+02:00,287.1000061035156,-613.4000244140625,-326.29998779296875
CDB002,2023-04-29,2023-04-29 10:53:12+02:00,267.70001220703125,-611.5,-343.79998779296875
CDB002,2023-04-29,2023-04-29 10:53:20+02:00,267.70001220703125,-607.0,-339.29998779296875
CDB002,2023-04-29,2023-04-29 10:53:28+02:00,267.29998779296875,-603.5,-336.20001220703125
CDB002,2023-04-29,2023-04-29 10:53:36+02:00,198.5,-598.5,-400.0
CDB002,2023-04-29,2023-04-29 10:53:44+02:00,159.3000030517578,-593.0999755859375,-433.7999877929688
CDB002,2023-04-29,2023-04-29 10:53:52+02:00,158.89999389648438,-588.5999755859375,-429.7000122070313
CDB002,2023-04-29,2023-04-29 10:54:00+02:00,159.39999389648438,-583.7000122070312,-424.2999877929688
CDB002,2023-04-29,2023-04-29 10:54:08+02:00,159.3000030517578,-581.0,-421.7000122070313
